	Agalychnis_lemur	Allobates_talamancae	Atelopus_zeteki	Bolitoglossa_colonnea	Bolitoglossa_schizodactyla	Cochranella_euknemos	Cochranella_granulosa	Colostethus_inguinalis	Colostethus_sp.	Craugastor_azueroensis	Craugastor_bransfordii	Craugastor_crassidigitus	Craugastor_gollmeri	Craugastor_megacephalus	Craugastor_noblei	Craugastor_punctariolus	Craugastor_sp.	Craugastor_tabasarae	Craugastor_talamancae	Dendrobates_auratus	Dendrobates_vicente	Diasporus_diastema	Diasporus_diastema_orange	Diasporus_peep	Diasporus_vocator	Ecnomiohyla_miliaria	Eleutherodactylus_podi-noblei	Eleutherodactylus_spp	Engystomops_pustulosus	Espadarana_prosoblepon	Gastrotheca_cornuta	Hyalinobatrachium_chirripoi	Hyalinobatrachium_colymbiphyllum	Hyalinobatrachium_talamancae	Hyalinobatrachium_vireovittatum	Hyloscirtus_colymba	Hyloscirtus_palmeri	Incilus_coniferus	Leptodactylus_mystacinus	Leptodactylus_pentadactylus	Lithobates_warszewitschii	Nelsonophryne_aterrima	Phyllobates_lugubris	Pristimantis_caryophyllaceus	Pristimantis_cerasinus	Pristimantis_cruentus	Pristimantis_cruentus_masonii	Pristimantis_gaigei	Pristimantis_museosus	Pristimantis_pardalis	Pristimantis_ridens	Ranitomeya_minutus	Rhaebo_haematiticus	Rhinella_marina	Sachatamia_albomaculata	Sachatamia_ilex	Silverstoneia_flotator	Silverstoneia_nubicola	Smilisca_phaeota	Strabomantis_bufoniformis	Teratohyla_spinosa
111	0	0	0.285714286	0	0	0	0	0.285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428571429	0	0	0
112	0	0	0	0	0	0	0	0	0	0	0	0.103448276	0.034482759	0	0.034482759	0	0	0	0.137931034	0	0	0.034482759	0	0	0	0	0	0	0	0.034482759	0.034482759	0	0	0	0	0	0	0	0	0	0	0	0	0.034482759	0.068965517	0.206896552	0	0	0.034482759	0	0.24137931	0	0	0	0	0	0	0	0	0	0
113	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0.4	0	0	0	0
114	0	0	0.352941176	0	0	0	0	0.058823529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176470588	0.411764706	0	0	0
115	0	0	0.148148148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037037037	0	0	0	0	0	0	0	0	0	0	0	0.37037037	0.037037037	0	0.148148148	0	0	0.037037037	0	0	0	0	0	0	0	0	0	0.222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	0	0	0.571428571	0	0	0	0	0	0.428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	0	0	0.421052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052631579	0	0	0	0	0	0	0	0	0	0	0	0.052631579	0	0.105263158	0	0	0	0.052631579	0	0	0	0	0	0	0	0	0.210526316	0	0	0	0	0	0	0	0	0	0.052631579	0	0	0.052631579	0	0
119	0	0	0.7	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0
120	0	0	0.375	0	0	0	0	0	0.125	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0.125	0.125	0	0	0
